date,irain,rain,itemp,temp,iwb,wetb,dewpt,vappr,rhum,msl,iwdsp,wdsp,iwddir,wddir,ww,w,sun,vis,clht,clamt
2017-01-03 16:00:00,0,0,0,4.8,0,3.6,1.9,6.9,81,1028.6,2,15,2,260,2,11,0,30000,20,7
2017-01-03 17:00:00,0,0,0,4.9,0,3.7,1.9,7,81,1028.5,2,15,2,260,2,11,0,30000,20,7
2017-01-03 18:00:00,0,0,0,4.8,0,3.8,2.3,7.2,84,1028.7,2,14,2,260,2,11,0,30000,16,7
2017-01-03 19:00:00,0,0,0,4.9,0,4,2.8,7.4,86,1028.7,2,14,2,260,2,11,0,30000,20,7
2017-01-03 20:00:00,0,0,0,4.5,0,4,3.4,7.7,92,1028.7,2,13,2,260,2,11,0,30000,20,7
2017-01-03 21:00:00,0,0,0,4.8,0,4.3,3.6,7.9,92,1028.8,2,14,2,260,2,11,0,30000,18,7
2017-01-03 22:00:00,0,0,0,4.7,0,4.2,3.5,7.8,92,1029,2,12,2,260,2,52,0,25000,17,7
2017-01-03 23:00:00,0,0,0,4.6,0,4.2,3.6,7.9,93,1029.1,2,11,2,260,2,11,0,25000,8,7
2017-01-04 00:00:00,2,0,0,4.7,0,4.4,3.9,8.1,95,1028.9,2,10,2,270,20,52,0,25000,6,7
2017-01-04 01:00:00,0,0,0,4.7,0,4.4,3.9,8.1,95,1028.5,2,11,2,260,2,11,0,25000,5,7
2017-01-04 02:00:00,0,0,0,4.6,0,4.3,3.9,8.1,95,1028.3,2,12,2,270,2,11,0,25000,22,7
2017-01-04 03:00:00,0,0,0,4.9,0,4.4,3.8,8,92,1028.4,2,13,2,270,2,11,0,25000,22,7
2017-01-04 04:00:00,0,0,0,5.1,0,4.6,3.8,8.1,92,1028.6,2,11,2,270,2,11,0,25000,22,7
2017-01-04 05:00:00,2,0,0,4.6,0,4.2,3.6,7.9,93,1028.3,2,11,2,270,20,52,0,25000,20,8
2017-01-04 06:00:00,0,0,0,4.1,0,3.9,3.5,7.9,97,1028.5,2,10,2,260,2,52,0,25000,20,7
2017-01-04 07:00:00,0,0,0,4.6,0,4.2,3.7,7.9,93,1028.6,2,11,2,270,2,11,0,25000,8,7
2017-01-04 08:00:00,0,0,0,4.9,0,4.5,4,8.1,94,1028.7,2,11,2,280,2,11,0,18000,6,8
2017-01-04 09:00:00,0,0,0,4.8,0,4.5,4,8.2,95,1029,2,12,2,290,2,11,0,17000,7,8
2017-01-04 10:00:00,0,0,0,5.1,0,4.8,4.3,8.4,95,1029.5,2,12,2,290,10,22,0,14000,6,7
2017-01-04 11:00:00,0,0,0,5.2,0,5.1,5,8.7,98,1029.9,2,11,2,290,10,22,0,3500,2,8
2017-01-04 12:00:00,2,0,0,5.6,0,5.4,5.2,8.8,97,1030,2,10,2,280,20,52,0,3000,2,8
2017-01-04 13:00:00,2,0,0,6.1,0,5.8,5.3,9,95,1029.9,2,9,2,280,20,52,0,17000,28,7
2017-01-04 14:00:00,0,0,0,6.1,0,5.7,5.2,8.8,94,1029.4,2,7,2,280,2,11,0,18000,10,7
2017-01-04 15:00:00,0,0,0,5.6,0,5.3,4.8,8.7,95,1029.4,2,6,2,270,10,52,0.3,8000,24,7
2017-01-04 16:00:00,0,0,0,3.7,0,3.4,2.9,7.6,95,1029.9,2,6,2,290,10,22,0,9000,24,5
2017-01-04 17:00:00,3,0,0,2.4,0,1.7,0.4,6.3,87,1030.5,2,5,2,330,2,11,0,16000,30,5
2017-01-04 18:00:00,3,0,0,1.8,0,1.1,-0.1,6.1,87,1030.7,2,6,2,330,2,52,0,16000,30,5
2017-01-04 19:00:00,3,0,0,1.4,0,0.9,0.1,6.1,91,1031.1,2,5,2,330,2,11,0,16000,28,5
2017-01-04 20:00:00,3,0,0,0.1,1,-0.3,-1.1,5.7,92,1031.4,2,3,2,340,2,11,0,16000,28,6
2017-01-04 21:00:00,3,0,0,1.1,0,0.7,0,6.1,92,1031.4,2,3,2,330,2,11,0,20000,28,6
2017-01-04 22:00:00,3,0,0,1.7,0,1.3,0.5,6.4,93,1031.6,2,3,2,340,2,11,0,18000,31,7
2017-01-04 23:00:00,3,0,0,2.2,0,1.7,1,6.5,91,1031.9,2,4,2,20,2,11,0,17000,28,7
2017-01-05 00:00:00,3,0,0,2.7,0,2.1,1.1,6.6,89,1032,2,4,2,40,2,11,0,17000,29,8
2017-01-05 01:00:00,3,0,0,2.9,0,2.4,1.7,6.9,91,1032,2,3,2,90,2,11,0,20000,29,8
2017-01-05 02:00:00,3,0,0,2.5,0,2.1,1.4,6.8,93,1031.8,2,2,2,110,2,11,0,20000,30,8
2017-01-05 03:00:00,3,0,0,2.4,0,1.6,0.1,6.2,86,1031.8,2,5,2,110,2,11,0,20000,28,7
2017-01-05 04:00:00,0,0,0,3.6,0,2.6,1,6.6,83,1031.9,2,5,2,100,2,11,0,20000,27,7
2017-01-05 05:00:00,0,0,0,3.5,0,2.7,1.5,6.8,86,1031.6,2,4,2,160,2,11,0,20000,25,8
2017-01-05 06:00:00,0,0,0,4.4,0,3.2,1.3,6.7,80,1031.4,2,4,2,150,2,11,0,20000,26,8
2017-01-05 07:00:00,0,0,0,3.9,0,2.7,0.8,6.5,80,1031.8,2,5,2,180,2,11,0,20000,25,7
2017-01-05 08:00:00,0,0,0,3.3,0,2.2,0.4,6.3,81,1031.9,2,5,2,160,2,11,0,20000,31,7
2017-01-05 09:00:00,0,0,0,4.4,0,3.3,1.5,6.9,82,1031.9,2,6,2,160,2,11,0,30000,22,7
2017-01-05 10:00:00,0,0,0,3.7,0,3.1,2.3,7.1,90,1032.1,2,5,2,150,2,11,0,30000,25,7
2017-01-05 11:00:00,0,0,0,5.7,0,4.5,2.8,7.5,82,1032,2,5,2,210,2,11,0.1,30000,30,6
2017-01-05 12:00:00,0,0,0,6.5,0,4.7,2.1,7.1,73,1031.6,2,4,2,190,2,11,0,30000,25,7
2017-01-05 13:00:00,0,0,0,6.7,0,5.3,3.3,7.8,79,1030.9,2,6,2,150,2,11,0,30000,24,7
2017-01-05 14:00:00,0,0,0,7.1,0,5.6,3.6,7.9,78,1030.4,2,7,2,160,2,11,0,30000,24,7
2017-01-05 15:00:00,0,0,0,7.2,0,5.8,4,8.1,80,1030.4,2,12,2,140,2,11,0,30000,24,7
2017-01-05 16:00:00,0,0,0,7.1,0,6,4.6,8.5,84,1030.4,2,11,2,140,2,11,0,30000,24,7
2017-01-05 17:00:00,0,0,0,6.9,0,5.9,4.5,8.5,85,1030.4,2,8,2,150,2,11,0,30000,24,7
2017-01-05 18:00:00,0,0,0,6.9,0,5.8,4.4,8.3,84,1030.4,2,7,2,140,2,11,0,30000,28,7
2017-01-05 19:00:00,0,0,0,6.5,0,5.5,4.2,8.2,85,1030.4,2,5,2,150,2,11,0,30000,40,7
2017-01-05 20:00:00,0,0,0,6.3,0,5.4,4.3,8.2,86,1030.3,2,3,2,110,2,11,0,25000,50,7
2017-01-05 21:00:00,0,0,0,4.6,0,3.8,2.6,7.4,87,1030.4,2,1,2,110,2,11,0,25000,70,8
2017-01-05 22:00:00,0,0,0,4.4,0,3.8,3,7.5,90,1030.2,2,3,2,170,2,11,0,25000,70,8
2017-01-05 23:00:00,0,0,0,5.2,0,4.7,4,8.1,92,1030.3,2,1,2,160,2,11,0,25000,60,8
2017-01-06 00:00:00,2,0,0,6.7,0,6.1,5.4,8.9,91,1030.2,2,3,2,250,60,62,0,8000,38,7
2017-01-06 01:00:00,0,0.1,0,7.1,0,6.6,6,9.3,93,1029.6,2,4,2,160,60,62,0,18000,48,7
2017-01-06 02:00:00,2,0,0,7.9,0,6.8,5.5,9,84,1029.5,2,4,2,160,21,62,0,20000,29,7
2017-01-06 03:00:00,0,0,0,8.7,0,7.3,5.7,9.1,81,1028.9,2,10,2,200,2,62,0,20000,23,7
2017-01-06 04:00:00,2,0,0,8.6,0,7.5,6.3,9.5,85,1028.7,2,11,2,210,60,62,0,20000,23,7
2017-01-06 05:00:00,2,0,0,9.1,0,8,6.8,9.8,85,1028.5,2,12,2,200,60,62,0,20000,43,7
2017-01-06 06:00:00,0,0.2,0,9.2,0,8.3,7.2,10.2,88,1028.1,2,12,2,200,60,62,0,20000,39,7
2017-01-06 07:00:00,0,0.1,0,9.3,0,8.4,7.5,10.3,88,1028,2,11,2,210,60,62,0,20000,50,7
2017-01-06 08:00:00,0,0.1,0,9.7,0,8.8,7.8,10.6,88,1028,2,12,2,200,60,62,0,20000,70,8
2017-01-06 09:00:00,0,0.1,0,9.9,0,9.1,8.2,10.9,90,1028.6,2,11,2,220,60,62,0,20000,70,8
2017-01-06 10:00:00,0,0.6,0,10.1,0,9.6,9,11.5,93,1028.7,2,10,2,220,60,62,0,8000,60,8
2017-01-06 11:00:00,0,0.1,0,10.6,0,9.9,9.2,11.6,91,1028.6,2,10,2,220,21,62,0,30000,40,7
2017-01-06 12:00:00,0,0,0,11.2,0,10.4,9.7,12,90,1028.4,2,11,2,230,2,62,0.1,30000,16,7
2017-01-06 13:00:00,2,0,0,11.1,0,10.5,10,12.2,92,1028,2,13,2,240,60,22,0,20000,40,7
2017-01-06 14:00:00,0,0.3,0,11.3,0,10.7,10.2,12.4,93,1027.8,2,13,2,240,58,65,0,9000,12,7
2017-01-06 15:00:00,0,1.9,0,11.1,0,10.7,10.4,12.5,95,1028.5,2,13,2,240,58,65,0,20000,60,7
2017-01-06 16:00:00,0,0.3,0,11.2,0,10.8,10.4,12.6,95,1028.2,2,12,2,240,58,65,0,20000,10,7
2017-01-06 17:00:00,0,0.1,0,11.1,0,10.7,10.4,12.5,95,1028.6,2,13,2,250,21,65,0,20000,10,5
2017-01-06 18:00:00,0,0,0,11.3,0,10.9,10.6,12.7,95,1029.2,2,13,2,250,3,65,0,20000,10,7
2017-01-06 19:00:00,0,0,0,11.4,0,11,10.7,12.8,95,1029.2,2,11,2,260,10,22,0,12000,5,7
2017-01-06 20:00:00,0,0,0,11,0,10.5,10,12.3,94,1029.7,2,9,2,250,2,11,0,16000,16,7
2017-01-06 21:00:00,0,0,0,11,0,10.4,9.9,12.1,92,1030.2,2,8,2,260,10,22,0,14000,12,7
2017-01-06 22:00:00,2,0,0,10.6,0,10.2,9.9,12.1,95,1031.2,2,9,2,270,50,52,0,8000,9,7
2017-01-06 23:00:00,2,0,0,10,0,9.7,9.4,11.8,96,1031.4,2,9,2,270,50,52,0,6000,7,8
2017-01-07 00:00:00,2,0,0,9.7,0,9.5,9.2,11.7,97,1031.5,2,6,2,230,20,52,0,16000,12,8
2017-01-07 01:00:00,0,0,0,9.6,0,9.2,8.8,11.3,95,1031.3,2,8,2,250,2,11,0,20000,24,8
2017-01-07 02:00:00,0,0,0,9.6,0,9.1,8.6,11.2,93,1031.4,2,8,2,250,2,11,0,20000,24,8
2017-01-07 03:00:00,0,0,0,9.3,0,8.9,8.5,11.1,95,1031.6,2,7,2,270,2,11,0,20000,25,7
2017-01-07 04:00:00,0,0,0,9.2,0,8.8,8.3,11,95,1031.8,2,6,2,280,2,11,0,20000,25,7
